C,CE,S,P,YieldStrength,Elongation,Process
0.056603774,0.079079079,0,0.147286822,0.318681319,0.45,2
0.465408805,0.41041041,0,0.651162791,0.351648352,0.4,2
0.088050314,0.169169169,0,0.186046512,0.406593407,0.4,2
0.113207547,0.133133133,0,0.217054264,0.384615385,0.4,2
0.113207547,0.193193193,0,0.217054264,0.450549451,0.25,2
0.113207547,0.213213213,0,0.217054264,0.472527473,0.25,2
0.157232704,0.175175175,0,0.271317829,0.406593407,0.25,2
0.150943396,0.229229229,0,0.263565891,0.505494505,0.25,2
0.157232704,0.255255255,0,0.271317829,0.516483516,0.25,2
0.182389937,0.199199199,0,0.302325581,0.428571429,0.25,2
0.176100629,0.413413413,0,0.294573643,0.681318681,0.1,2
0.213836478,0.229229229,0,0.341085271,0.450549451,0.25,2
0.213836478,0.289289289,0,0.341085271,0.549450549,0.25,2
0.220125786,0.415415415,0,0.348837209,0.703296703,0.1,2
0.289308176,0.361361361,0,0.434108527,0.604395604,0.1,2
0.339622642,0.409409409,0,0.496124031,0.648351648,0.1,2
0.320754717,0.511511511,0,0.472868217,0.813186813,0.1,2
0.339622642,0.429429429,0,0.496124031,0.681318681,0.1,2
0.383647799,0.451451451,0,0.550387597,0.703296703,0.1,2
0.408805031,0.495495495,0,0.581395349,0.758241758,0.1,2
0.408805031,0.475475475,0,0.581395349,0.714285714,0.1,2
0.402515723,0.629629629,0,0.573643411,0.956043956,0,2
0.446540881,0.511511511,0,0.627906977,0.769230769,0.1,2
0.446540881,0.531531532,0,0.627906977,0.802197802,0.1,2
0.477987421,0.541541541,0,0.666666667,0.802197802,0.1,2
0.48427673,0.567567568,0,0.674418605,0.835164835,0.1,2
0.490566038,0.713713713,0,0.682170543,0.967032967,0,2
0.503144654,0.665665665,0,0.697674419,0.989010989,0,2
0.522012579,0.583583583,0,0.720930233,0.868131868,0,2
0.547169811,0.607607607,0,0.751937984,0.912087912,0,2
0.062893082,0.145145145,0.078125,0.271317829,0.516483516,0,2
0.062893082,0.165165165,0.151041667,0.379844961,0.549450549,0,2
0.062893082,0.165165165,0.244791667,0.519379845,0.549450549,0,2
0.088050314,0.224224223,0.265625,0.581395349,0.549450549,0,2
0.031446541,0.105105105,0.057291667,0.201550388,0.351648352,0.5,2
0.113207547,0.273273273,0.057291667,0.302325581,0.516483516,0.25,2
0.113207547,0.333333333,0.057291667,0.302325581,0.56043956,0.25,2
0.113207547,0.273273273,0.244791667,0.581395349,0.516483516,0.25,2
0.264150943,0.497497497,0.057291667,0.488372093,0.802197802,0.1,2
0.34591195,0.575575575,0.057291667,0.589147287,0.879120879,0,2
0.408805031,0.495495495,0.057291667,0.666666667,0.758241758,0.1,2
